names	ranges_mean	ranges_max	rangesc_mean	rangesc_max
CTB-12A17.2	13.848866961780809	79.47214076246334	4.175382091009409	8.840625448285756
DACT3	6.838391188372388	36.34905193734542	2.7306682143007217	13.426727909011374
DACT3-AS1	5.6723427659398675	26.08092485549133	2.4892235259286943	5.901734104046243
PRKD2	3.6238276158989917	18.023199429522226	1.1963029147156432	2.580484566876867
RN7SL364P	9.831947968794013	24.649651972157773	4.21188320806527	9.026345933562427
STRN4	1.6798458947189785	3.6910239061795216	0.8781451789194802	1.9148936170212763
CTB-174O21.2	8.519372832494083	21.790525858322468	4.031602749653674	18.910447761194032
FKRP	1.8938056536635424	4.9940639269406395	1.082447443364059	2.1345639943741204
SLC1A5	7.3185675720259145	28.525118483412324	2.3954566101210846	5.977669902912622
CTB-147N14.6	5.706793767457718	67.67801857585138	2.323678545846787	6.602683178534572
AP2S1	2.2034205600503145	5.2697089106393795	1.1258246811408343	2.301296720061022
ARHGAP35	2.003976907181951	5.298148148148148	1.1805329097826551	2.0558854495683296
CTD-2233K9.1	6.2641642535227495	18.00817160367722	2.375025161627089	4.940781184376313
NPAS1	9.796750949578403	61.28383067314365	3.4140519421036544	15.60917816436713
TMEM160	3.503160299983959	8.629933269780745	1.8835512252887754	2.5732125834127744
ZC3H4	1.7408183521440501	5.732077789150461	0.9941781693845447	2.854625550660793
SAE1	1.9872365679396324	5.642378559463987	1.1220549990000495	3.8039653728008935
BBC3	5.674947213496425	21.714386896857018	1.9237699088460065	7.122064687638459
CCDC9	3.1517310356282757	10.665388155876036	1.224538010094282	2.5442987880286916
INAFM1	3.094660207181777	8.05104961832061	1.4507528067526874	3.80682251908397
C5AR1	18.87701504664334	88.55940337224382	3.987299325040578	9.784926667380367
C5AR2	13.18702612792371	68.99056603773585	3.5958179497975236	9.802423263327949
DHX34	3.311678921493998	10.267049955282996	1.4007057443026893	2.8721963854712422
MEIS3	6.433183943995697	27.044225770516153	2.2574334362490984	6.251381718797449
SLC8A2	28.48738779806783	451.54320987654324	4.587884409499786	48.60545905707196
KPTN	3.0283373033684224	8.018229938598349	1.3615914881679017	2.3647137372725755
NAPA-AS1	3.1300590678547517	15.592124237382139	1.372253426700219	3.948696616749862
NAPA	1.8664266513606884	4.667778155835318	1.042177401815699	2.6358361774744026
RP11-43N16.4	4.374442802331237	18.63058064516129	1.710158689220591	4.81490639350053
ZNF541	6.466617964093185	24.891618497109825	2.4677149075107336	6.105263157894737
RN7SL322P	0.11337507517068167	6.12225405921681	0.06366404645563345	3.437858508604206
CTD-2571L23.8	5.624573390921006	25.3125	2.3887213635266282	6.315147625160463
CTD-3001H11.2	4.7401490596330795	11.624380875366422	2.107913184832112	3.846349961757457
GLTSCR1	2.035527128234268	5.525740528128587	1.0588625583097215	2.504765185440349
GLTSCR1-AS1	1.1586431088739022	23.723747980613894	0.868666852886814	23.723747980613894
AC008985.1	16.446711457056615	110.90395480225989	4.662422978823171	12.826086956521738
